Method,Time (s),Payload Fraction,dv,ratio
SLSQP,0.002019166946411133,0.03154807761807855,[4650. 4650.],"[np.float64(0.14597089895924484), np.float64(0.216125802081186)]"
differential_evolution,2.7082080841064453,0.035547498307625526,[2772.94118152 6527.04951851],"[np.float64(0.3297632295631898), np.float64(0.10779703472310229)]"
GA,1.2490110397338867,0.01921822447047107,[6585.73589119 2714.25480881],"[np.float64(0.04669694101874966), np.float64(0.4115521070803034)]"
